contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,moneyness,days_to_expiration,T,bs_price,pricing_error,abs_error
AAPL250314C00100000,2025-03-05 14:42:20+00:00,100,133.96,127.35,129.05,0,0,1,0,3.7060554223632813,TRUE,REGULAR,USD,call,3/14/2025,0.4394831677946735,4,0.010958904109589041,127.94161919691953,6.0183808030804755,6.0183808030804755
AAPL250314C00120000,2025-02-26 18:24:10+00:00,120,120.95,107.4,108.8,0,0,11,7,2.8847684130859372,TRUE,REGULAR,USD,call,3/14/2025,0.5273798013536082,4,0.010958904109589041,107.90140978110432,13.048590218895683,13.048590218895683
AAPL250314C00130000,2025-03-10 14:22:57+00:00,130,96.75,97.4,98.85,-7.9000015,-7.548974,2,1,2.582034794921875,TRUE,REGULAR,USD,call,3/14/2025,0.5713281181330755,4,0.010958904109589041,97.92571251488556,-1.175712515,1.1757125148855607
AAPL250314C00140000,2025-03-10 14:22:57+00:00,140,88.89,87.4,89.1,-11.709999,-11.640158,8,42,2.355472861328124,TRUE,REGULAR,USD,call,3/14/2025,0.6152764349125429,4,0.010958904109589041,88.00955727148798,0.8804427285120227,0.8804427285120227
AAPL250314C00145000,2025-03-10 14:07:06+00:00,145,84.85,82.4,83.8,-4.1800003,-4.695047,5,4,2.1220750073242183,TRUE,REGULAR,USD,call,3/14/2025,0.6372505933022765,4,0.010958904109589041,82.92543744115443,1.9245625588455653,1.9245625588455653
AAPL250314C00150000,2025-03-10 14:46:17+00:00,150,78.17,77.4,79.1,-9.360001,-10.693478,4,23,2.0664110839843746,TRUE,REGULAR,USD,call,3/14/2025,0.6592247516920102,4,0.010958904109589041,78.02207458427006,0.14792541572994367,0.14792541572994367
AAPL250314C00155000,2025-03-10 14:46:17+00:00,155,73.18,72.4,74.25,-11.839996,-13.926131,4,7,1.962890810546875,TRUE,REGULAR,USD,call,3/14/2025,0.6811989100817439,4,0.010958904109589041,73.07463594590496,0.10536405409504823,0.10536405409504823
AAPL250314C00160000,2025-03-10 14:38:59+00:00,160,69.36,67.25,67.65,-6.8399963,-8.976374,3,4,1.3925811621093749,TRUE,REGULAR,USD,call,3/14/2025,0.7031730684714775,4,0.010958904109589041,67.69016256175277,1.669837438247228,1.669837438247228
AAPL250314C00165000,2025-03-06 16:40:57+00:00,165,71.25,62.45,63.85,0,0,4,4,1.615236298828125,TRUE,REGULAR,USD,call,3/14/2025,0.7251472268612112,4,0.010958904109589041,62.979114535646005,8.270885464353995,8.270885464353995
AAPL250314C00170000,2025-03-10 14:38:59+00:00,170,59.35,57.45,59.15,-7.3700027,-11.046166,3,17,1.5517600537109373,TRUE,REGULAR,USD,call,3/14/2025,0.747121385,4,0.010958904109589041,58.08134615316996,1.2686538468300412,1.2686538468300412
